ここは・・？,0,4,0,0
目の前に奇妙な景色が広がっていた。,0,4,0,0
見覚えのある建物やモンスターたちもうろうろしていたし、,0,4,0,0
なぜだか体が重い気がした。,0,4,0,0
ガハハ！！！ギャハハ！！,0,8,1,0
うわっっ！！なんだこいつ！？,0,4,0,0
オデ、テツオ！！シゴト！オマエミハル！！,0,11,1,0
は？？あんた何者？？,0,5,0,0
ウゥウ・・ダ、ダカラ、、オデ、テ、テツオ・・・,0,12,1,0
ちょっ・・・大丈夫？？,0,4,0,0
目覚めたようだな・・,0,13,2,0
誰？！,0,5,0,0
（頭の中に声が聞こえる！！）,0,5,0,0
我は人の世の監視者。お前たち、人を導く存在。,0,13,2,0
？？,0,5,0,0
周りに合せることができないオマエは、この世の秩序を乱す,0,13,2,0
よって、罪人としてこの世界に閉じ込めることにした,0,13,2,0
は？？
ふざけないで！！ここから出してよ！！,0,3,0,0
出たかったら、反省して従順な人間になるんだな,0,13,2,0
うるさい！！絶対嫌だ！！,0,3,0,0
ふん・・どんなに喚いても無駄だ・・・,0,13,2,0
・・・。テツオ・・・
この罪人に、余計な事をしゃべったら、クビだけじゃすまないからな・・。,0,13,2,0
熱い、熱い、溶岩の海に落としてやる・・・肝に銘じておけ・・・,0,13,2,0
（こわ・・・）,0,14,0,0
ガーン！！ヨウ・・・ガン・・・オデ・・トカサレル・・？,0,9,1,0
ふん・・では仕事に戻るとしよう・・・,0,13,2,0
おい！！話は、まだ・・・,0,5,0,0
好き勝手言いやがって・・・,0,3,0,0
それにしても、体が妙にだるい・・・,0,14,0,0
あ！そういえば・・,0,4,0,0
おいっ鉄球！！,0,0,0,0
ナ、ナンデスカ？？,0,10,1,0
結局ここはどこなの！？,0,5,0,0
ウッ・・・ココハオマエノユメノナカダ・・デス・・・,0,10,1,0
私の夢の中？？
うーん・・・
なら、もしかすると・・・,0,4,0,0
私は自由！私は自由！私は自由！！,0,0,0,0
（私はその場で唱え続けた）,0,0,0,0
ナ、ナニシテイルンダ・・・？,0,5,1,0
私は自由の身だって、言い聞かせてるの！
だってここは私の夢の中なんでしょ？？
きっと私の気持ちがなんらかの影響を及ぼすはず！！,0,1,0,0
お！！やったー！！なんか体が軽くなった気がする！！,0,4,0,0
ウソ・・・
エ？・・・エ？・・・
,0,9,1,0
さすがにこいつと繋がれている鎖は消えないか・・・,0,0,0,0
ウゥゥ・・・オマエ・・ゲンキ二ナッタ・・オデ・・ヨウガンイク？？？,0,9,1,0
おい！,0,0,0,0
・・・ハイ・・,0,5,1,0
さっきの声のあいつ、たたき出すために
この世界ぶっ壊すから、あんたも力貸しなさいよ,0,0,0,0
・・・エ？,0,4,1,0
強制だから！,0,1,0,0
ナ・・ナ・・ナ・・・,0,5,1,0
あたしに夢のこと話しちゃったんだから、
どっちしろクビなんでしょ？
,0,0,0,0
ウゥ・・・,0,9,1,0
それなら最後にひと暴れしたほうがよくない？？,0,6,0,0
ワカッタ・・・テツダオウ・・・,0,5,1,0
よし！！交渉成立！！ドンドンぶっ壊しちゃおう！！,0,1,0,0
ガハハ！！！ギャハハ！！
コワスコワス！！,0,8,1,0